""
"Test Method","Tensile test (ROUND specimen).msm"
"Sample I. D.","MaterialX_RT_1mm_min_fi64.mss"
"Specimen Number","4"

"Time (s)","Extension (mm)","Strain (%)","Load (N)","Stress (MPa)"
119.156,0.25098,2.50982,10072.50763,317.05419
119.412,0.25158,2.51578,10076.90745,317.19268
119.668,0.25215,2.52148,10092.45339,317.68202
119.924,0.25278,2.52785,10097.36837,317.83673
120.180,0.25325,2.53245,10094.04210,317.73203
120.436,0.25387,2.53872,10101.01936,317.95166
120.692,0.25449,2.54491,10117.90291,318.48310
120.948,0.25510,2.55103,10126.14131,318.74242
121.204,0.25554,2.55544,10127.23412,318.77682
121.460,0.25618,2.56184,10138.34771,319.12665
121.716,0.25671,2.56711,10137.72212,319.10696
121.972,0.25733,2.57329,10141.05163,319.21176
122.228,0.25793,2.57934,10146.98094,319.39840
122.484,0.25853,2.58527,10164.46947,319.94889
122.740,0.25918,2.59182,10169.43093,320.10506
122.996,0.25974,2.59741,10167.40416,320.04126
123.252,0.26028,2.60284,10176.93121,320.34115
123.508,0.26080,2.60797,10185.18527,320.60096
123.764,0.26152,2.61516,10191.17327,320.78945
124.020,0.26214,2.62137,10202.11140,321.13375
124.276,0.26271,2.62709,10207.18083,321.29332
124.532,0.26326,2.63256,10205.64278,321.24491
124.788,0.26381,2.63810,10207.47507,321.30258
125.044,0.26437,2.64375,10218.32568,321.64413
125.300,0.26498,2.64980,10222.27262,321.76837
125.556,0.26547,2.65469,10225.36227,321.86562
125.812,0.26609,2.66090,10231.64779,322.06347
126.068,0.26667,2.66670,10239.40371,322.30761
126.324,0.26744,2.67439,10246.16670,322.52049
126.580,0.26799,2.67992,10251.04771,322.67413
126.836,0.26858,2.68580,10253.20062,322.74189
127.092,0.26919,2.69194,10259.79015,322.94931
127.348,0.26969,2.69695,10270.36049,323.28204
127.604,0.27022,2.70220,10264.79947,323.10699
127.860,0.27080,2.70796,10268.26805,323.21617
128.116,0.27129,2.71289,10268.97987,323.23858
128.372,0.27184,2.71835,10285.01460,323.74331
128.628,0.27242,2.72422,10289.27346,323.87736
128.884,0.27297,2.72967,10299.66611,324.20450
129.140,0.27359,2.73589,10303.51267,324.32558
129.396,0.27401,2.74009,10297.27058,324.12909
129.652,0.27454,2.74539,10297.62259,324.14017
129.908,0.27508,2.75077,10299.15066,324.18827
130.164,0.27559,2.75589,10331.84541,325.21741
130.420,0.27621,2.76209,10335.15133,325.32147
130.676,0.27676,2.76762,10340.34193,325.48486
130.932,0.27726,2.77264,10337.75060,325.40329
131.188,0.27784,2.77844,10345.45055,325.64566
131.444,0.27834,2.78341,10352.06074,325.85373
131.700,0.27884,2.78843,10361.39090,326.14742
131.956,0.27942,2.79419,10368.28582,326.36445
132.212,0.27998,2.79983,10379.48389,326.71694
132.468,0.28059,2.80588,10384.55440,326.87654
132.724,0.28118,2.81183,10389.84359,327.04303
132.980,0.28177,2.81767,10387.03113,326.95450
133.236,0.28227,2.82274,10396.25554,327.24486
133.492,0.28284,2.82839,10395.37760,327.21722
133.748,0.28329,2.83292,10398.20929,327.30636
134.004,0.28377,2.83767,10403.58650,327.47562
134.260,0.28449,2.84488,10417.46263,327.91240
134.516,0.28488,2.84878,10410.79919,327.70265
134.772,0.28551,2.85511,10413.60895,327.79110
135.028,0.28609,2.86094,10413.81738,327.79766
135.284,0.28664,2.86637,10429.15026,328.28029
135.540,0.28720,2.87204,10440.39531,328.63426
135.796,0.28770,2.87700,10442.52170,328.70119
136.052,0.28825,2.88252,10441.78952,328.67814
136.308,0.28876,2.88765,10449.29126,328.91427
136.564,0.28918,2.89185,10449.64101,328.92528
136.820,0.28976,2.89765,10454.60831,329.08164
137.076,0.22084,2.20836,1762.90574,55.49131
